weight,height,G,AB,HR
195.0,74.0,58,174.0,10.0
195.0,74.0,90,324.0,17.0
195.0,74.0,110,358.0,15.0
195.0,74.0,76,178.0,5.0
195.0,74.0,21,47.0,1.0
190.0,72.0,7,11.0,0.0
150.0,70.0,4,5.0,0.0
150.0,70.0,3,0.0,0.0
150.0,70.0,94,242.0,3.0
150.0,70.0,54,68.0,0.0
150.0,70.0,54,149.0,2.0
150.0,70.0,33,99.0,1.0
150.0,70.0,108,264.0,5.0
150.0,70.0,90,177.0,0.0
150.0,70.0,101,194.0,4.0
150.0,70.0,21,21.0,0.0
150.0,70.0,10,18.0,0.0
150.0,70.0,22,34.0,0.0
168.0,71.0,12,5.0,0.0
168.0,71.0,45,54.0,0.0
168.0,71.0,63,10.0,0.0
168.0,71.0,61,30.0,0.0
168.0,71.0,90,42.0,0.0
168.0,71.0,7,0.0,0.0
168.0,71.0,44,13.0,0.0
168.0,71.0,37,3.0,0.0
168.0,71.0,15,11.0,0.0
163.0,64.0,19,65.0,0.0
163.0,64.0,1,4.0,0.0
185.0,73.0,50,138.0,0.0
185.0,73.0,46,102.0,2.0
185.0,73.0,47,103.0,0.0
185.0,73.0,48,137.0,0.0
185.0,73.0,49,130.0,1.0
185.0,73.0,49,138.0,0.0
185.0,73.0,47,139.0,1.0
185.0,73.0,3,10.0,0.0
185.0,73.0,30,70.0,0.0
185.0,73.0,46,118.0,1.0
185.0,73.0,31,95.0,1.0
185.0,73.0,33,85.0,0.0
185.0,73.0,39,111.0,1.0
185.0,73.0,21,65.0,1.0
185.0,73.0,32,79.0,2.0
185.0,73.0,7,15.0,0.0
185.0,73.0,23,50.0,0.0
185.0,73.0,37,94.0,0.0
185.0,73.0,34,86.0,1.0
185.0,73.0,22,41.0,0.0
185.0,73.0,9,4.0,0.0
165.0,70.0,37,97.0,0.0
165.0,70.0,43,110.0,0.0
165.0,70.0,1,1.0,0.0
165.0,70.0,25,68.0,1.0
165.0,70.0,36,78.0,0.0
165.0,70.0,20,51.0,0.0
250.0,77.0,17,3.0,0.0
250.0,77.0,58,4.0,0.0
250.0,77.0,73,2.0,0.0
250.0,77.0,68,0.0,0.0
250.0,77.0,58,0.0,0.0
250.0,77.0,66,3.0,0.0
250.0,77.0,60,0.0,0.0
250.0,77.0,79,1.0,0.0
250.0,77.0,33,0.0,0.0
250.0,77.0,61,1.0,0.0
210.0,71.0,101,335.0,4.0
210.0,71.0,123,368.0,4.0
210.0,71.0,151,518.0,10.0
210.0,71.0,144,557.0,17.0
210.0,71.0,158,628.0,27.0
210.0,71.0,150,544.0,25.0
210.0,71.0,124,457.0,17.0
210.0,71.0,135,490.0,16.0
210.0,71.0,142,514.0,13.0
210.0,71.0,139,519.0,11.0
210.0,71.0,109,368.0,2.0
210.0,71.0,18,50.0,0.0
210.0,71.0,12,37.0,0.0
165.0,69.0,93,297.0,1.0
165.0,69.0,56,68.0,0.0
165.0,69.0,85,265.0,2.0
165.0,69.0,115,362.0,3.0
165.0,69.0,88,205.0,5.0
165.0,69.0,132,419.0,6.0
165.0,69.0,129,380.0,5.0
165.0,69.0,128,388.0,5.0
165.0,69.0,101,259.0,6.0
165.0,69.0,68,164.0,3.0
165.0,69.0,139,540.0,6.0
165.0,69.0,113,387.0,4.0
165.0,69.0,94,237.0,1.0
220.0,77.0,101,293.0,1.0
220.0,77.0,50,154.0,3.0
220.0,77.0,133,434.0,5.0
220.0,77.0,111,323.0,3.0
220.0,77.0,60,151.0,1.0
220.0,77.0,9,25.0,0.0
220.0,77.0,13,24.0,0.0
220.0,77.0,35,82.0,3.0
175.0,72.0,159,573.0,12.0
175.0,72.0,139,421.0,9.0
175.0,72.0,74,243.0,6.0
175.0,72.0,19,39.0,0.0
175.0,72.0,101,319.0,5.0
175.0,72.0,87,254.0,3.0
175.0,72.0,120,373.0,6.0
175.0,72.0,122,365.0,9.0
175.0,72.0,104,261.0,8.0
175.0,72.0,97,229.0,4.0
175.0,72.0,84,220.0,9.0
175.0,72.0,17,57.0,0.0
175.0,72.0,16,50.0,2.0
175.0,71.0,133,456.0,2.0
175.0,71.0,118,438.0,1.0
175.0,71.0,152,563.0,2.0
175.0,71.0,124,471.0,8.0
175.0,71.0,40,149.0,0.0
175.0,71.0,34,119.0,1.0
175.0,71.0,5,15.0,0.0
180.0,70.0,9,22.0,0.0
165.0,73.0,3,3.0,0.0
175.0,74.0,48,12.0,0.0
175.0,74.0,30,5.0,0.0
175.0,74.0,43,5.0,0.0
175.0,74.0,36,9.0,0.0
175.0,74.0,47,0.0,0.0
195.0,73.0,137,481.0,10.0
195.0,73.0,15,50.0,0.0
195.0,73.0,57,175.0,4.0
195.0,73.0,5,10.0,0.0
